3000
EL_1| 12 74.8
EL_2| 5 18.8
EL_3| 9 2.4
EL_4| 27 71.2
EL_5| 60 41.9
EL_6| 24 88.7
EL_7| 91 93.7
EL_8| 11 29.1
EL_9| 75 7.6
EL_10| 31 95.6
EL_11| 89 61.2
EL_12| 0 41.7
EL_13| 80 60.2
EL_14| 21 49.3
EL_15| 21 34.8
EL_16| 14 43.3
EL_17| 32 89.6
EL_18| 93 80.2
EL_19| 78 64.5
EL_20| 12 85.1
EL_21| 68 32.4
EL_22| 25 72.3
EL_23| 40 75.3
EL_24| 88 57.5
EL_25| 85 45.5
EL_26| 81 33.3
EL_27| 26 68.6
EL_28| 76 95
EL_29| 60 24.6
EL_30| 77 28.7
EL_31| 78 58.3
EL_32| 18 35.4
EL_33| 40 10.1
EL_34| 32 85.9
EL_35| 40 8.8
EL_36| 73 23.9
EL_37| 86 81.6
EL_38| 67 27.9
EL_39| 1 51.3
EL_40| 30 12.9
EL_41| 63 4.9
EL_42| 93 50.8
EL_43| 70 57.7
EL_44| 61 65.2
EL_45| 36 36.6
EL_46| 63 16.8
EL_47| 31 51.7
EL_48| 96 21.3
EL_49| 38 9.8
EL_50| 78 9.5
EL_51| 97 92.1
EL_52| 36 84.8
EL_53| 34 25
EL_54| 91 47.1
EL_55| 12 81.1
EL_56| 66 5.2
EL_57| 87 23.3
EL_58| 72 89.9
EL_59| 81 34.8
EL_60| 32 45.1
EL_61| 13 51
EL_62| 86 43.2
EL_63| 97 45.8
EL_64| 65 69
EL_65| 80 48.8
EL_66| 61 43
EL_67| 100 92
EL_68| 100 80.3
EL_69| 78 87.8
EL_70| 61 90.1
EL_71| 9 4.8
EL_72| 40 20
EL_73| 11 84.7
EL_74| 64 9
EL_75| 83 16.5
EL_76| 26 6
EL_77| 60 47.6
EL_78| 39 3.3
EL_79| 76 86.7
EL_80| 33 45.4
EL_81| 68 89.3
EL_82| 13 76.3
EL_83| 12 37.1
EL_84| 61 44
EL_85| 10 4.9
EL_86| 31 0.8
EL_87| 96 32.3
EL_88| 23 51.7
EL_89| 92 28.3
EL_90| 12 47.1
EL_91| 22 99
EL_92| 90 75.4
EL_93| 78 26.4
EL_94| 89 4.4
EL_95| 90 41.9
EL_96| 97 32.6
EL_97| 61 38.9
EL_98| 87 3.1
EL_99| 20 49.8
EL_100| 40 17.3
EL_101| 23 10
EL_102| 17 58.5
EL_103| 24 37
EL_104| 38 77
EL_105| 27 98.9
EL_106| 93 12.7
EL_107| 96 31.3
EL_108| 89 50.2
EL_109| 15 88.4
EL_110| 85 87.3
EL_111| 88 63.5
EL_112| 6 67.8
EL_113| 95 28.5
EL_114| 7 37.6
EL_115| 13 88
EL_116| 11 64.2
EL_117| 40 99.4
EL_118| 35 28.6
EL_119| 81 68.7
EL_120| 17 79.9
EL_121| 17 67.7
EL_122| 65 31.1
EL_123| 64 51.8
EL_124| 12 42.2
EL_125| 94 61.9
EL_126| 12 87.1
EL_127| 79 38.4
EL_128| 86 84.8
EL_129| 8 54.8
EL_130| 67 44.1
EL_131| 61 81.8
EL_132| 91 59.5
EL_133| 70 68.4
EL_134| 95 37.4
EL_135| 3 44.1
EL_136| 70 40.4
EL_137| 76 39.2
EL_138| 84 49.1
EL_139| 7 1.5
EL_140| 3 99.7
EL_141| 86 62.2
EL_142| 61 10.1
EL_143| 71 17.5
EL_144| 97 15.4
EL_145| 91 20.6
EL_146| 7 49.5
EL_147| 94 22.7
EL_148| 15 2.7
EL_149| 89 45.7
EL_150| 91 23.2
EL_151| 19 67.7
EL_152| 85 55.4
EL_153| 65 42.5
EL_154| 81 78.7
EL_155| 80 40.2
EL_156| 81 80.9
EL_157| 14 5.7
EL_158| 94 7.1
EL_159| 38 64.1
EL_160| 69 64.4
EL_161| 93 26.4
EL_162| 27 85.9
EL_163| 88 57.7
EL_164| 67 60.3
EL_165| 60 10.2
EL_166| 81 6.5
EL_167| 3 31.4
EL_168| 13 83
EL_169| 68 45.1
EL_170| 68 39.3
EL_171| 1 21.1
EL_172| 100 70.5
EL_173| 65 34.2
EL_174| 14 43.9
EL_175| 9 65
EL_176| 39 38.9
EL_177| 33 43.4
EL_178| 9 99.5
EL_179| 20 28.7
EL_180| 19 97.9
EL_181| 100 86.6
EL_182| 5 20.7
EL_183| 12 28.2
EL_184| 2 58.1
EL_185| 8 89.8
EL_186| 27 20.9
EL_187| 60 79.3
EL_188| 3 27.4
EL_189| 77 56.2
EL_190| 23 25.8
EL_191| 84 46.2
EL_192| 20 4.7
EL_193| 91 47.9
EL_194| 98 13.9
EL_195| 90 57.2
EL_196| 0 31.4
EL_197| 38 36.3
EL_198| 97 44.8
EL_199| 7 35.8
EL_200| 63 62.5
EL_201| 60 70.6
EL_202| 88 11.9
EL_203| 32 20.5
EL_204| 21 3.6
EL_205| 79 83.8
EL_206| 40 27.3
EL_207| 10 69.1
EL_208| 5 17.6
EL_209| 92 16.8
EL_210| 23 56.2
EL_211| 22 29.2
EL_212| 27 55.1
EL_213| 81 59.6
EL_214| 19 76.7
EL_215| 69 85.7
EL_216| 71 61.6
EL_217| 20 20.8
EL_218| 27 99.3
EL_219| 13 45
EL_220| 6 94.5
EL_221| 90 84.3
EL_222| 79 56.8
EL_223| 67 8
EL_224| 18 62
EL_225| 30 83.8
EL_226| 2 41.6
EL_227| 100 67.1
EL_228| 80 90.6
EL_229| 89 58
EL_230| 92 12.3
EL_231| 75 96.5
EL_232| 27 64.7
EL_233| 16 29.8
EL_234| 24 27.7
EL_235| 86 0.7
EL_236| 25 99.3
EL_237| 25 45.3
EL_238| 68 31.7
EL_239| 4 62.8
EL_240| 25 84.1
EL_241| 71 85.1
EL_242| 27 79
EL_243| 61 6.6
EL_244| 22 87.1
EL_245| 82 32.9
EL_246| 79 78.1
EL_247| 88 64
EL_248| 37 43.9
EL_249| 93 92.9
EL_250| 88 74
EL_251| 65 42.4
EL_252| 4 3.7
EL_253| 19 58.5
EL_254| 75 50.8
EL_255| 14 18.2
EL_256| 94 31.6
EL_257| 24 80.4
EL_258| 33 61.3
EL_259| 71 23.9
EL_260| 84 84.8
EL_261| 69 94.8
EL_262| 0 62
EL_263| 68 83.4
EL_264| 94 70.6
EL_265| 80 37.4
EL_266| 70 88.3
EL_267| 83 31.9
EL_268| 28 92.6
EL_269| 16 78.2
EL_270| 8 24.5
EL_271| 63 10.1
EL_272| 83 91.2
EL_273| 95 77.8
EL_274| 67 25.8
EL_275| 1 18.8
EL_276| 4 10.5
EL_277| 78 70.6
EL_278| 66 67.2
EL_279| 19 11.5
EL_280| 100 2.7
EL_281| 81 81.1
EL_282| 16 58.3
EL_283| 87 82.8
EL_284| 93 27.7
EL_285| 91 78.3
EL_286| 23 36.5
EL_287| 3 2.3
EL_288| 35 82.7
EL_289| 64 46.6
EL_290| 61 36.7
EL_291| 37 73.2
EL_292| 96 29.8
EL_293| 69 95.3
EL_294| 96 21.4
EL_295| 11 56.8
EL_296| 28 58.8
EL_297| 0 80.6
EL_298| 3 1
EL_299| 78 87.4
EL_300| 96 23.8
EL_301| 17 58.8
EL_302| 72 31.8
EL_303| 65 81.8
EL_304| 61 76.1
EL_305| 21 7.9
EL_306| 33 88.9
EL_307| 70 11
EL_308| 29 20.9
EL_309| 21 58.6
EL_310| 20 28.9
EL_311| 81 18.5
EL_312| 64 28.3
EL_313| 4 40.7
EL_314| 7 27.5
EL_315| 100 13.1
EL_316| 24 18.9
EL_317| 78 23.3
EL_318| 28 79.5
EL_319| 90 72
EL_320| 83 66.6
EL_321| 23 98.7
EL_322| 71 59.5
EL_323| 25 87.9
EL_324| 13 73.4
EL_325| 4 9.1
EL_326| 83 8.4
EL_327| 79 64.8
EL_328| 33 36.8
EL_329| 83 82.4
EL_330| 66 59.1
EL_331| 25 98.3
EL_332| 38 88.4
EL_333| 96 78.5
EL_334| 75 94.1
EL_335| 5 13
EL_336| 70 79
EL_337| 8 54.9
EL_338| 74 15.2
EL_339| 38 86.2
EL_340| 17 22.6
EL_341| 21 35
EL_342| 23 50
EL_343| 74 50.4
EL_344| 96 96.9
EL_345| 62 73.5
EL_346| 72 73.6
EL_347| 10 72.5
EL_348| 8 7.6
EL_349| 76 55.7
EL_350| 61 46.5
EL_351| 26 66.4
EL_352| 80 67.7
EL_353| 85 61.4
EL_354| 100 51.6
EL_355| 70 5.3
EL_356| 97 2.5
EL_357| 26 14
EL_358| 76 26.1
EL_359| 87 16.1
EL_360| 4 30.8
EL_361| 87 16.3
EL_362| 0 54.6
EL_363| 81 62
EL_364| 93 55.2
EL_365| 82 22.5
EL_366| 25 14
EL_367| 1 81.3
EL_368| 14 52.9
EL_369| 90 91
EL_370| 74 45.3
EL_371| 35 29.9
EL_372| 14 86.3
EL_373| 0 2.7
EL_374| 92 72.9
EL_375| 91 59.7
EL_376| 61 70.1
EL_377| 71 72.8
EL_378| 39 72.8
EL_379| 77 3.1
EL_380| 0 51.3
EL_381| 73 67.3
EL_382| 6 61.8
EL_383| 82 94.1
EL_384| 65 72.2
EL_385| 37 48.8
EL_386| 75 35
EL_387| 98 68.9
EL_388| 19 66.7
EL_389| 24 89.1
EL_390| 69 27.4
EL_391| 73 57.3
EL_392| 93 25
EL_393| 96 35.6
EL_394| 13 97.9
EL_395| 63 6.5
EL_396| 12 98.8
EL_397| 85 27.4
EL_398| 70 98.5
EL_399| 84 97.9
EL_400| 19 80.2
EL_401| 17 90
EL_402| 67 26.1
EL_403| 78 61.8
EL_404| 20 68.7
EL_405| 64 27
EL_406| 88 56
EL_407| 28 58.8
EL_408| 34 55.3
EL_409| 93 7.9
EL_410| 82 78
EL_411| 0 70.2
EL_412| 84 36.3
EL_413| 7 61.8
EL_414| 27 49.2
EL_415| 75 87.3
EL_416| 31 87.1
EL_417| 78 95.6
EL_418| 95 81.7
EL_419| 35 87.4
EL_420| 73 96.9
EL_421| 0 58.4
EL_422| 71 4.2
EL_423| 61 9.1
EL_424| 35 12.7
EL_425| 19 74.3
EL_426| 74 37.2
EL_427| 28 59.8
EL_428| 16 37.4
EL_429| 74 91.7
EL_430| 19 97.1
EL_431| 96 4.5
EL_432| 87 43.1
EL_433| 12 36.4
EL_434| 96 21.5
EL_435| 94 96.6
EL_436| 6 79.4
EL_437| 67 30.3
EL_438| 38 40.3
EL_439| 30 3.7
EL_440| 71 22.3
EL_441| 79 77.2
EL_442| 25 38.5
EL_443| 34 8.5
EL_444| 80 34.4
EL_445| 84 56.7
EL_446| 40 82.3
EL_447| 72 45.8
EL_448| 97 80.3
EL_449| 26 96.6
EL_450| 31 2.8
EL_451| 21 76
EL_452| 63 37
EL_453| 38 50.5
EL_454| 13 70.9
EL_455| 66 81.5
EL_456| 80 87.7
EL_457| 99 30.5
EL_458| 85 93.9
EL_459| 67 94.3
EL_460| 34 10.9
EL_461| 1 0.1
EL_462| 21 75.8
EL_463| 36 44.5
EL_464| 20 88.4
EL_465| 84 89.9
EL_466| 6 34.3
EL_467| 14 32.5
EL_468| 2 9.2
EL_469| 38 10.9
EL_470| 9 60.2
EL_471| 79 41.9
EL_472| 15 97.9
EL_473| 83 94.4
EL_474| 15 68.4
EL_475| 78 6.6
EL_476| 94 82.7
EL_477| 81 86.2
EL_478| 95 86.1
EL_479| 6 32.5
EL_480| 9 100
EL_481| 63 79.1
EL_482| 66 71.3
EL_483| 85 64.5
EL_484| 94 70.3
EL_485| 15 10.9
EL_486| 86 88.3
EL_487| 34 98.7
EL_488| 39 56.5
EL_489| 26 44.9
EL_490| 22 49.5
EL_491| 89 63.4
EL_492| 35 50.8
EL_493| 40 72.3
EL_494| 28 61.4
EL_495| 94 17.7
EL_496| 91 72.7
EL_497| 17 24.2
EL_498| 2 12.5
EL_499| 96 20.3
EL_500| 89 5.1
EL_501| 93 54.4
EL_502| 87 15.1
EL_503| 71 30.5
EL_504| 0 59.5
EL_505| 18 9.7
EL_506| 27 41.3
EL_507| 90 60.1
EL_508| 39 10.2
EL_509| 65 49.7
EL_510| 86 42.4
EL_511| 69 23.5
EL_512| 100 75.2
EL_513| 12 97.5
EL_514| 14 42.9
EL_515| 1 3.7
EL_516| 20 94.4
EL_517| 14 6.1
EL_518| 84 16.7
EL_519| 24 20.2
EL_520| 63 32.6
EL_521| 4 29.3
EL_522| 60 90.4
EL_523| 27 41.7
EL_524| 18 63.3
EL_525| 61 49.8
EL_526| 70 62.2
EL_527| 86 9.7
EL_528| 3 65.5
EL_529| 68 73.3
EL_530| 82 30.2
EL_531| 97 78
EL_532| 78 65.7
EL_533| 38 75.3
EL_534| 13 31.2
EL_535| 70 20.6
EL_536| 35 93.4
EL_537| 100 97.8
EL_538| 25 53.2
EL_539| 13 1.4
EL_540| 13 2.7
EL_541| 17 10.1
EL_542| 32 60.9
EL_543| 66 47
EL_544| 36 0.1
EL_545| 60 51.3
EL_546| 71 59.9
EL_547| 98 12.6
EL_548| 17 12
EL_549| 97 56.2
EL_550| 24 36.5
EL_551| 21 49.6
EL_552| 29 61.6
EL_553| 60 88.4
EL_554| 38 52.8
EL_555| 64 21.7
EL_556| 7 80.1
EL_557| 19 62.5
EL_558| 100 43.3
EL_559| 35 91.2
EL_560| 87 68.3
EL_561| 5 21.8
EL_562| 96 1.8
EL_563| 100 25.6
EL_564| 13 20.9
EL_565| 62 43.6
EL_566| 77 49.8
EL_567| 4 35.5
EL_568| 85 11.6
EL_569| 76 58.7
EL_570| 38 62.4
EL_571| 93 97.9
EL_572| 33 20.2
EL_573| 97 68
EL_574| 32 64
EL_575| 39 87
EL_576| 12 22.4
EL_577| 8 78
EL_578| 67 56.4
EL_579| 25 46.8
EL_580| 38 1.6
EL_581| 65 43.8
EL_582| 7 82
EL_583| 31 25.9
EL_584| 18 13.7
EL_585| 14 79.3
EL_586| 30 23.6
EL_587| 32 11.4
EL_588| 97 49.7
EL_589| 82 53.9
